time=128753,accel_x= -0.05,accel_y= -0.11,accel_z= 0.03,gyro_x= -0.01,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 17.87,orientation_x= 102.25,orientation_y= 79.75,orientation_y= -94.37
time=128763,accel_x= -0.06,accel_y= -0.10,accel_z= 0.05,gyro_x= -0.01,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.25,mag_y= -15.50,mag_z= 17.87,orientation_x= 102.25,orientation_y= 79.75,orientation_y= -94.37
time=128772,accel_x= -0.07,accel_y= -0.24,accel_z= 0.17,gyro_x= -0.03,gyro_y= -0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -15.50,mag_z= 16.25,orientation_x= 102.25,orientation_y= 79.75,orientation_y= -94.37
time=128782,accel_x= -0.04,accel_y= -0.03,accel_z= 0.06,gyro_x= -0.01,gyro_y= -0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -15.50,mag_z= 16.25,orientation_x= 102.25,orientation_y= 79.75,orientation_y= -94.37
time=128794,accel_x= -0.04,accel_y= -0.05,accel_z= 0.03,gyro_x= -0.03,gyro_y= -0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -15.50,mag_z= 16.25,orientation_x= 102.31,orientation_y= 79.69,orientation_y= -94.31
time=128807,accel_x= -0.04,accel_y= -0.11,accel_z= 0.09,gyro_x= -0.02,gyro_y= 0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -15.50,mag_z= 16.25,orientation_x= 102.31,orientation_y= 79.69,orientation_y= -94.31
time=128817,accel_x= -0.03,accel_y= -0.10,accel_z= -0.01,gyro_x= -0.02,gyro_y= -0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -15.50,mag_z= 16.25,orientation_x= 102.31,orientation_y= 79.69,orientation_y= -94.31
time=128826,accel_x= -0.03,accel_y= -0.12,accel_z= 0.05,gyro_x= -0.02,gyro_y= -0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -16.19,mag_z= 17.00,orientation_x= 102.37,orientation_y= 79.69,orientation_y= -94.31
time=128838,accel_x= -0.05,accel_y= -0.11,accel_z= 0.03,gyro_x= -0.01,gyro_y= 0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -16.19,mag_z= 17.00,orientation_x= 102.37,orientation_y= 79.69,orientation_y= -94.31
time=128850,accel_x= -0.06,accel_y= -0.13,accel_z= 0.04,gyro_x= -0.02,gyro_y= -0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -16.19,mag_z= 17.00,orientation_x= 102.37,orientation_y= 79.69,orientation_y= -94.31
time=128861,accel_x= -0.06,accel_y= -0.11,accel_z= 0.06,gyro_x= -0.03,gyro_y= -0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -16.19,mag_z= 17.00,orientation_x= 102.37,orientation_y= 79.69,orientation_y= -94.25
time=128871,accel_x= -0.06,accel_y= -0.12,accel_z= 0.07,gyro_x= -0.03,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.69,mag_y= -15.50,mag_z= 17.50,orientation_x= 102.37,orientation_y= 79.69,orientation_y= -94.25
time=128881,accel_x= -0.06,accel_y= -0.10,accel_z= 0.04,gyro_x= -0.02,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.69,mag_y= -15.50,mag_z= 17.50,orientation_x= 102.44,orientation_y= 79.69,orientation_y= -94.25
time=128892,accel_x= -0.05,accel_y= -0.08,accel_z= 0.00,gyro_x= -0.03,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.69,mag_y= -15.50,mag_z= 17.50,orientation_x= 102.44,orientation_y= 79.69,orientation_y= -94.25
time=128903,accel_x= 0.00,accel_y= -0.17,accel_z= -0.02,gyro_x= -0.03,gyro_y= -0.00,gyro_z= -0.01,mag_x= -38.69,mag_y= -15.50,mag_z= 17.50,orientation_x= 102.44,orientation_y= 79.69,orientation_y= -94.19
time=128915,accel_x= -0.12,accel_y= 0.06,accel_z= 0.09,gyro_x= -0.03,gyro_y= -0.00,gyro_z= -0.00,mag_x= -38.69,mag_y= -15.50,mag_z= 17.50,orientation_x= 102.50,orientation_y= 79.69,orientation_y= -94.19
time=128924,accel_x= -0.08,accel_y= -0.04,accel_z= 0.08,gyro_x= -0.03,gyro_y= -0.01,gyro_z= -0.01,mag_x= -39.06,mag_y= -15.06,mag_z= 17.50,orientation_x= 102.50,orientation_y= 79.69,orientation_y= -94.12
time=128936,accel_x= 0.00,accel_y= -0.19,accel_z= 0.02,gyro_x= -0.02,gyro_y= -0.00,gyro_z= -0.01,mag_x= -39.06,mag_y= -15.06,mag_z= 17.50,orientation_x= 102.50,orientation_y= 79.69,orientation_y= -94.12
